"Step","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX"
"1909","-0.3","-2","0"
"1910","-0.2","-1","0"
"1911","-0.1","-1","0"
"1912","-0.4","-1","0"
"1913","-0.2","-1","0"
"1914","-0.3","-1","0"
"1915","-0.2","-1","0"
"1916","-0.6","-2","0"
"1917","-0.1","-1","0"
"1918","-0.7","-2","0"
"1919","0","0","0"
"1920","-0.1","-1","0"
"1921","-0.5","-2","0"
"1922","-0.2","-1","0"
"1923","-0.1","-1","0"
"1924","-0.8","-3","0"
"1925","0","0","0"
"1926","-0.5","-2","0"
"1927","-0.3","-1","0"
"1928","-0.1","-1","0"
"1929","-0.4","-2","0"
"1930","-0.1","-1","0"
"1931","0","0","0"
"1932","-0.2","-1","0"
"1933","-0.4","-3","0"
"1934","-0.6","-2","0"
"1935","-0.1","-1","0"
"1936","-0.1","-1","0"
"1937","-0.1","-1","0"
"1938","-0.6","-2","0"
"1939","-0.6","-3","0"
"1940","-0.1","-1","0"
"1941","-0.3","-2","0"
"1942","-0.2","-1","0"
"1943","-0.6","-2","0"
"1944","-0.5","-1","0"
"1945","-0.5","-2","0"
"1946","-0.1","-1","0"
"1947","-0.3","-1","0"
"1948","-0.2","-1","0"
"1949","-0.2","-1","0"
"1950","-0.6","-3","0"
"1951","0","0","0"
"1952","-0.1","-1","0"
"1953","-0.7","-2","0"
"1954","0","0","0"
"1955","-0.1","-1","0"
"1956","-0.1","-1","0"
"1957","-0.1","-1","0"
"1958","-0.6","-2","0"
"1959","-0.2","-1","0"
"1960","-0.3","-2","0"
"1961","-0.3","-1","0"
"1962","-0.3","-1","0"
"1963","-0.2","-1","0"
"1964","-0.3","-1","0"
"1965","-0.1","-1","0"
"1966","-0.1","-1","0"
"1967","-0.5","-3","0"
"1968","-0.3","-1","0"
"1969","-0.3","-1","0"
"1970","-0.5","-2","0"
"1971","-0.1","-1","0"
"1972","-0.2","-1","0"
"1973","-0.1","-1","0"
"1974","-0.1","-1","0"
"1975","-0.2","-1","0"
"1976","-0.2","-2","0"
"1977","-0.1","-1","0"
"1978","-0.6","-3","0"
"1979","-0.2","-1","0"
"1980","-0.4","-2","0"
"1981","-0.2","-1","0"
"1982","-0.5","-2","0"
"1983","-0.1","-1","0"
"1984","-0.1","-1","0"
"1985","-0.5","-2","0"
"1986","-0.3","-1","0"
"1987","-0.1","-1","0"
"1988","-0.1","-1","0"
"1989","-0.6","-3","0"
"1990","-0.7","-3","0"
"1991","-0.4","-2","0"
"1992","-0.3","-1","0"
"1993","-0.3","-1","0"
"1994","-0.1","-1","0"
"1995","0","0","0"
"1996","-0.1","-1","0"
"1997","0","0","0"
"1998","-0.5","-2","0"
"1999","-0.3","-1","0"
"2000","-0.3","-2","0"
